topico,rank,palabra,peso
Topico_0,1,ciudad,12.100042983936612
Topico_0,2,lugar,12.099780251136975
Topico_0,3,peligroso,8.0999441374295
Topico_0,4,salamanca,6.100047031582986
Topico_0,5,contaminacion,6.100024693362278
Topico_0,6,visitar,6.100003822871493
Topico_0,7,inseguridad,4.100028420340362
Topico_0,8,zona,4.100001842808085
Topico_0,9,recreacion,4.099998369393821
Topico_0,10,falta,4.099995150069095
Topico_1,1,lugar,12.100126786784832
Topico_1,2,inseguridad,6.100095722217185
Topico_1,3,vivir,6.100030233573617
Topico_1,4,persona,6.09985796537022
Topico_1,5,salir,4.100049965004226
Topico_1,6,cosa,4.100045010185878
Topico_1,7,escuchar,4.099999999431193
Topico_1,8,peligroso,2.1000386637460693
Topico_1,9,contaminado,2.1000126771465264
Topico_1,10,foraneo,2.100009780178478
Topico_2,1,ciudad,12.100061976022783
Topico_2,2,malo,10.100019729282321
Topico_2,3,salamanca,8.100038728647366
Topico_2,4,lugar,8.09990736223024
Topico_2,5,aspecto,4.100013004605206
Topico_2,6,general,4.100009192932676
Topico_2,7,vida,4.100007121093971
Topico_2,8,considerar,4.100001190552048
Topico_2,9,area,4.1000010607350434
Topico_2,10,feria,4.099999999749766
Topico_3,1,lugar,4.099955640222204
Topico_3,2,variedad,2.100019414596772
Topico_3,3,principal,2.1000175362435716
Topico_3,4,actividad,2.100016884449566
Topico_3,5,falta,2.1000160182727496
Topico_3,6,tiempo,2.1000111740837992
Topico_3,7,atraccion,2.100005294719718
Topico_3,8,promedio,2.1000030539877947
Topico_3,9,encontrar,2.1000018294064047
Topico_3,10,trafico,2.100001826731552
Topico_4,1,lugar,10.09984263107021
Topico_4,2,inseguro,6.100019757081618
Topico_4,3,transporte,6.100001816977966
Topico_4,4,salir,4.100041298373303
Topico_4,5,vivir,4.100015284274313
Topico_4,6,amigo,4.100003510914236
Topico_4,7,deberio,4.099999999678144
Topico_4,8,comer,4.099999999678144
Topico_4,9,limitar,4.099999999678144
Topico_4,10,caro,4.099999998252823
Topico_5,1,ciudad,14.100020143445315
Topico_5,2,refineria,8.09997114574648
Topico_5,3,ofrecer,6.100013426363484
Topico_5,4,centro,4.100018659735756
Topico_5,5,variedad,4.100013869446859
Topico_5,6,comida,4.100012537614742
Topico_5,7,sentir,4.100002794573987
Topico_5,8,restaurante,4.10000154945242
Topico_5,9,peatonal,4.0999999998113665
Topico_5,10,cruz,4.0999999998113665
Topico_6,1,lugar,10.10053853528018
Topico_6,2,inseguridad,4.10012340004596
Topico_6,3,poder,4.100102249974275
Topico_6,4,tanto,2.100030130454773
Topico_6,5,persona,2.10002956657165
Topico_6,6,atraccion,2.1000216197385626
Topico_6,7,cultura,2.1000213655711826
Topico_6,8,salamanca,2.100020696647096
Topico_6,9,gobierno,2.1000202502026823
Topico_6,10,ayudar,2.100019016529411
Topico_7,1,ciudad,6.10007094192248
Topico_7,2,inseguridad,4.100061809558222
Topico_7,3,salamanca,4.100029543519513
Topico_7,4,lindo,2.1000158628285543
Topico_7,5,gustar,2.1000123724094437
Topico_7,6,querer,2.1000032841473324
Topico_7,7,afuera,2.1000022852890328
Topico_7,8,malo,2.1000009229817524
Topico_7,9,gobierno,2.1000006197745957
Topico_7,10,bici,2.1000003050962897
Topico_8,1,salamanca,16.09995423830636
Topico_8,2,lugar,8.100012351787703
Topico_8,3,descuidado,8.100010170765277
Topico_8,4,ciudad,8.09991463982104
Topico_8,5,general,6.1000094433218575
Topico_8,6,precio,4.10000801383958
Topico_8,7,opinion,4.100004374965909
Topico_8,8,calle,4.100004273998358
Topico_8,9,mantenimiento,4.100001694298366
Topico_8,10,rancheria,4.09999999970815
Topico_9,1,turistico,8.100007026466917
Topico_9,2,visitar,6.100011426567444
Topico_9,3,bonito,6.099950844129908
Topico_9,4,ciudad,6.099898772237894
Topico_9,5,lugar,6.099847703391423
Topico_9,6,gobierno,4.100022102294763
Topico_9,7,mayoria,4.100006028851636
Topico_9,8,potencial,4.100004938998853
Topico_9,9,gente,4.1000015116990545
Topico_9,10,agradable,4.099999999373479
